interval_name,max_ma,min_ma,mid_ma
Late Pleistocene,0.129,0.0117,0.07035
Chibanian,0.774,0.129,0.4515
Calabrian,1.8,0.774,1.287
Gelasian,2.58,1.8,2.19
Piacenzian,3.6,2.58,3.09
Zanclean,5.333,3.6,4.4665
Messinian,7.246,5.333,6.2895
Tortonian,11.63,7.246,9.438
Serravallian,13.82,11.63,12.725
Langhian,15.98,13.82,14.9
Burdigalian,20.45,15.98,18.215
Aquitanian,23.04,20.45,21.745
Chattian,27.3,23.04,25.17
Rupelian,33.9,27.3,30.6
Priabonian,37.71,33.9,35.805
Bartonian,41.03,37.71,39.37
Lutetian,48.07,41.03,44.55
Ypresian,56,48.07,52.035
Thanetian,59.24,56,57.62
Selandian,61.66,59.24,60.45
Danian,66,61.66,63.83
Maastrichtian,72.2,66,69.1
Campanian,83.6,72.2,77.9
Santonian,85.7,83.6,84.65
Coniacian,89.8,85.7,87.75
Turonian,93.9,89.8,91.85
Cenomanian,100.5,93.9,97.2
Albian,113.2,100.5,106.85
Aptian,121.4,113.2,117.3
Barremian,125.77,121.4,123.585
Hauterivian,132.6,125.77,129.185
Valanginian,137.05,132.6,134.825
Berriasian,143.1,137.05,140.075
Tithonian,149.2,143.1,146.15
Kimmeridgian,154.8,149.2,152
Oxfordian,161.5,154.8,158.15
Callovian,165.3,161.5,163.4
Bathonian,168.2,165.3,166.75
Bajocian,170.9,168.2,169.55
Aalenian,174.7,170.9,172.8
Toarcian,184.2,174.7,179.45
Pliensbachian,192.9,184.2,188.55
Sinemurian,199.5,192.9,196.2
Hettangian,201.4,199.5,200.45
